tweet_id,favorites,retweets,user_followers,user_favourites,date_time
686394059078897668,1721,682,8796142,145903,2016-01-11 03:47:50+00:00
686386521809772549,3225,868,8796142,145903,2016-01-11 03:17:53+00:00
686377065986265092,2184,557,8796142,145903,2016-01-11 02:40:19+00:00
686358356425093120,2160,660,8796142,145903,2016-01-11 01:25:58+00:00
686286779679375361,3965,1642,8796142,145903,2016-01-10 20:41:33+00:00
686050296934563840,2195,720,8796142,145903,2016-01-10 05:01:51+00:00
686035780142297088,1141,115,8796142,145903,2016-01-10 04:04:10+00:00
686034024800862208,3055,1129,8796142,145903,2016-01-10 03:57:12+00:00
686007916130873345,2459,405,8796142,145903,2016-01-10 02:13:27+00:00
686003207160610816,1808,615,8796142,145903,2016-01-10 01:54:44+00:00
685973236358713344,2080,515,8796142,145903,2016-01-09 23:55:38+00:00
685943807276412928,1617,584,8796142,145903,2016-01-09 21:58:42+00:00
685906723014619143,7427,2840,8796142,145903,2016-01-09 19:31:20+00:00
685681090388975616,2010,123,8796142,145903,2016-01-09 04:34:45+00:00
685667379192414208,2340,558,8796142,145903,2016-01-09 03:40:16+00:00
685663452032069632,3196,1435,8795460,145902,2016-01-09 03:24:40+00:00
685641971164143616,2913,769,8796142,145903,2016-01-09 01:59:19+00:00
685547936038666240,32575,15417,8796142,145903,2016-01-08 19:45:39+00:00
685532292383666176,3000,1143,8796142,145903,2016-01-08 18:43:29+00:00
685325112850124800,9354,3917,8796142,145903,2016-01-08 05:00:14+00:00
685321586178670592,2627,628,8796142,145903,2016-01-08 04:46:13+00:00
685315239903100929,3281,1029,8796142,145903,2016-01-08 04:21:00+00:00
685307451701334016,2050,438,8796142,145903,2016-01-08 03:50:03+00:00
685268753634967552,3063,1187,8796142,145903,2016-01-08 01:16:17+00:00
685198997565345792,2319,661,8796142,145903,2016-01-07 20:39:06+00:00
685169283572338688,4066,1409,8796142,145903,2016-01-07 18:41:01+00:00
684969860808454144,2369,363,8796142,145903,2016-01-07 05:28:35+00:00
684959798585110529,6755,3079,8796142,145903,2016-01-07 04:48:36+00:00
684940049151070208,3182,1035,8796142,145903,2016-01-07 03:30:07+00:00
684926975086034944,3457,456,8796142,145903,2016-01-07 02:38:10+00:00
684914660081053696,3479,1432,8796142,145903,2016-01-07 01:49:14+00:00
684902183876321280,1856,521,8796143,145903,2016-01-07 00:59:40+00:00
684880619965411328,2067,799,8796143,145903,2016-01-06 23:33:58+00:00
684830982659280897,34636,21392,8796143,145903,2016-01-06 20:16:44+00:00
684800227459624960,2711,989,8796143,145903,2016-01-06 18:14:31+00:00
684594889858887680,8813,3459,8796143,145903,2016-01-06 04:38:35+00:00
684588130326986752,4070,1388,8796143,145903,2016-01-06 04:11:43+00:00
684567543613382656,2981,1192,8796143,145903,2016-01-06 02:49:55+00:00
684538444857667585,2624,937,8796143,145903,2016-01-06 00:54:18+00:00
